Country,Year,Variable,Value,Above Average,Location
Netherlands,2014,Surface water produced internally,11.0,0,"52.2379891, 5.53460738161551"
Netherlands,2014,Groundwater produced internally,4.5,0,"52.2379891, 5.53460738161551"
Nicaragua,2014,Surface water produced internally,152.6,0,"12.3724928, -84.8700308"
Nicaragua,2014,Groundwater produced internally,59.0,0,"12.3724928, -84.8700308"
Niger,2014,Surface water produced internally,1.0,0,"17.7356214, 9.3238432"
Niger,2014,Groundwater produced internally,2.5,0,"17.7356214, 9.3238432"
Nigeria,2014,Surface water produced internally,214.0,0,"9.6000359, 7.9999721"
Nigeria,2014,Groundwater produced internally,87.0,1,"9.6000359, 7.9999721"
Norway,2014,Surface water produced internally,376.0,1,"64.5731537, 11.5280364395482"
Norway,2014,Groundwater produced internally,96.0,1,"64.5731537, 11.5280364395482"
Occupied Palestinian Territory,2014,Surface water produced internally,0.072,0,
Occupied Palestinian Territory,2014,Groundwater produced internally,0.74,0,
Oman,2014,Surface water produced internally,1.05,0,"25.22789295, 55.1766685144623"
Oman,2014,Groundwater produced internally,1.3,0,"25.22789295, 55.1766685144623"
Pakistan,2014,Surface water produced internally,47.4,0,"30.3308401, 71.247499"
Pakistan,2014,Groundwater produced internally,55.0,0,"30.3308401, 71.247499"
Panama,2014,Surface water produced internally,133.2,0,"35.266906, -119.0567707"
Panama,2014,Groundwater produced internally,21.0,0,"35.266906, -119.0567707"
Papua New Guinea,2014,Surface water produced internally,801.0,1,"-5.6816069, 144.2489081"
Papua New Guinea,2014,Groundwater produced internally,211.6,1,"-5.6816069, 144.2489081"
Paraguay,2014,Surface water produced internally,117.0,0,"-23.3165935, -58.1693445"
Paraguay,2014,Groundwater produced internally,41.64,0,"-23.3165935, -58.1693445"
Peru,2014,Surface water produced internally,1641.0,1,"41.3274302, -89.1288762"
Peru,2014,Groundwater produced internally,303.0,1,"41.3274302, -89.1288762"
Philippines,2014,Surface water produced internally,444.0,1,"12.7503486, 122.7312101"
Philippines,2014,Groundwater produced internally,180.0,1,"12.7503486, 122.7312101"
Poland,2014,Surface water produced internally,53.1,0,"52.0977181, 19.0258159"
Poland,2014,Groundwater produced internally,12.5,0,"52.0977181, 19.0258159"
Portugal,2014,Surface water produced internally,38.0,0,"40.033265, -7.8896263"
Portugal,2014,Groundwater produced internally,4.0,0,"40.033265, -7.8896263"
Qatar,2014,Surface water produced internally,0.0,0,"25.22803095, 55.17332793087"
Qatar,2014,Groundwater produced internally,0.056,0,"25.22803095, 55.17332793087"
Republic of Korea,2014,Surface water produced internally,62.25,0,"-9.4327997, 159.9605709"
Republic of Korea,2014,Groundwater produced internally,13.3,0,"-9.4327997, 159.9605709"
Republic of Moldova,2014,Surface water produced internally,1.32,0,"47.286747, 28.5110236"
Republic of Moldova,2014,Groundwater produced internally,1.3,0,"47.286747, 28.5110236"
Romania,2014,Surface water produced internally,42.0,0,"45.9852129, 24.6859225"
Romania,2014,Groundwater produced internally,8.38,0,"45.9852129, 24.6859225"
Russian Federation,2014,Surface water produced internally,4036.0,1,"64.6863136, 97.7453061"
Russian Federation,2014,Groundwater produced internally,788.0,1,"64.6863136, 97.7453061"
Rwanda,2014,Surface water produced internally,9.5,0,"-1.9646631, 30.0644358"
Rwanda,2014,Groundwater produced internally,7.0,0,"-1.9646631, 30.0644358"
Saint Kitts and Nevis,2014,Surface water produced internally,0.004,0,"17.3462278, -62.7687277"
Saint Kitts and Nevis,2014,Groundwater produced internally,0.02,0,"17.3462278, -62.7687277"
Saudi Arabia,2014,Surface water produced internally,2.2,0,"17.7269134, 42.2363448"
Saudi Arabia,2014,Groundwater produced internally,2.2,0,"17.7269134, 42.2363448"
Senegal,2014,Surface water produced internally,23.8,0,"14.4750607, -14.4529612"
Senegal,2014,Groundwater produced internally,3.5,0,"14.4750607, -14.4529612"
Sierra Leone,2014,Surface water produced internally,150.0,0,"8.6400349, -11.8400269"
Sierra Leone,2014,Groundwater produced internally,25.0,0,"8.6400349, -11.8400269"
Slovakia,2014,Surface water produced internally,12.6,0,"48.7411522, 19.4528646"
Slovakia,2014,Groundwater produced internally,1.73,0,"48.7411522, 19.4528646"
Slovenia,2014,Surface water produced internally,18.52,0,"45.8133113, 14.4808369"
Slovenia,2014,Groundwater produced internally,13.5,0,"45.8133113, 14.4808369"
Solomon Islands,2014,Surface water produced internally,44.7,0,"-9.7354344, 162.8288542"
Solomon Islands,2014,Groundwater produced internally,11.92,0,"-9.7354344, 162.8288542"
Somalia,2014,Surface water produced internally,5.7,0,"-13.180556, 15.266667"
